Date,Weight
2023-04-23,102.4
2023-04-24,103.1
2023-04-25,103.2
2023-04-26,103.3
2023-04-27,103.6
2023-04-28,103.3
2023-04-29,103.0
2023-04-30,103.1
2023-05-01,103.5
2023-05-02,103.2
2023-05-03,103.3
2023-05-04,103.3
2023-05-05,103.2
2023-05-06,103.2
2023-05-07,103.7
2023-05-08,103.5
2023-05-09,103.4
2023-05-10,103.9
2023-05-11,103.7
2023-05-12,103.6
2023-05-13,103.8
2023-05-14,103.6
2023-05-15,103.9
2023-05-16,103.6
2023-05-17,103.8
2023-05-18,103.9
2023-05-19,103.6
2023-05-20,104.1
2023-05-21,103.8
2023-05-22,104.0
2023-05-23,103.9
2023-05-24,103.8
2023-05-25,104.0
2023-05-26,104.1
2023-05-27,103.7
2023-05-28,103.5
2023-05-29,103.5
2023-05-30,103.4
2023-05-31,103.5
2023-06-01,103.2
2023-06-02,103.3
2023-06-03,103.0
2023-06-04,103.1
2023-06-05,103.1
2023-06-06,103.0
2023-06-07,103.0
2023-06-08,103.1
2023-06-09,103.2
2023-06-10,102.9
2023-06-11,102.6
2023-06-12,102.5
2023-06-13,102.8
2023-06-14,102.5
2023-06-15,102.5
2023-06-16,102.8
2023-06-17,103.0
2023-06-18,103.1
2023-06-19,102.8
2023-06-20,102.5
2023-06-21,103.0
2023-06-22,102.5
2023-06-23,102.5
2023-06-24,102.5
2023-06-25,102.0
2023-06-26,102.3
2023-06-27,102.2
2023-06-28,102.1
2023-06-29,102.0
2023-06-30,102.0
2023-07-01,102.5
2023-07-02,102.5
2023-07-03,102.2
2023-07-04,102.4
2023-07-05,102.5
2023-07-06,102.5
2023-07-07,102.0
2023-07-08,101.5
2023-07-09,102.5
2023-07-10,102.1
2023-07-11,101.5
2023-07-12,101.5
2023-07-13,101.5
2023-07-14,101.0
2023-07-15,100.5
2023-07-16,101.2
2023-07-17,100.5
2023-07-18,100.5
2023-07-19,100.5
2023-07-20,100.5
2023-07-21,99.5
2023-07-22,99.6
2023-07-23,100.0
2023-07-24,100.0
2023-07-25,99.5
2023-07-26,99.0
2023-07-27,98.9
2023-07-28,98.5
2023-07-29,99.0
2023-07-30,98.8
2023-07-31,98.5
2023-08-01,98.3
2023-08-02,98.0
2023-08-03,98.5
2023-08-04,98.5
2023-08-05,98.0
2023-08-06,98.0
2023-08-07,98.0
2023-08-08,98.3
2023-08-09,98.0
2023-08-10,98.0
2023-08-11,97.9
2023-08-12,98.0
2023-08-13,98.0
2023-08-14,98.0
2023-08-15,98.0
2023-08-16,97.9
2023-08-17,98.0
2023-08-18,98.0
2023-08-19,98.0
2023-08-20,97.8
2023-08-21,98.1
2023-08-22,97.9
2023-08-23,98.0
2023-08-24,98.3
2023-08-25,97.9
2023-08-26,97.9
2023-08-27,97.9
2023-08-28,97.8
2023-08-29,98.1
2023-08-30,98.3
2023-08-31,97.9
